SNo,Rank,Allotted Quota,Allotted Institute,Course,Allotted Category,Candidate Category,Remarks
18039,247191,Self-Financed Merit Seat,"Raja Rajeswari Medical College & Hospital, Bangalore,202, Kambipura, Bengaluru Mysuru High Way,Kengeri Hobli, Bangalore, Karnataka",MBBS,Open,General,Allotted
18040,247204,IP University Quota,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi,Vardhman Mahavir Medical College And Safdarjung Hospital, New Delhi, Delhi (NCT), 110029",MBBS,Open PwD,General PwD,Allotted
18041,247223,Self-Financed Merit Seat,"Jawaharlal Nehru Medical College, Sawangi (Meghe), Wardha,Sawangi (Meghe), Wardha, Maharashtra State, India",MBBS,Open,General,Allotted
18042,247366,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,OBC,Allotted
18043,247383,Self-Financed Merit Seat,"Amrita School of Medicine,Mata Amritanandmayi Marg, Sector-88, Faridabad",MBBS,Open,General,Allotted
18044,247497,Self-Financed Merit Seat,"BHAARATH MEDICAL COLLEGE & HOSPITAL, Chennai.,173, AGARAM MAIN ROAD , SELAIYUR, TAMBARAM CHENNAI - 600073",MBBS,Open,General,Allotted
18045,247641,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
18046,247642,Self-Financed Merit Seat,"Amrita School of Medicine,Mata Amritanandmayi Marg, Sector-88, Faridabad",MBBS,Open,General,Allotted
18047,247655,Self-Financed Merit Seat,"Shri B M Patil Medical College, Hospital & Research Centre, Vijayapura (Bijapur,SMT BANGARAMMA SAJJAN CAMPUS B M PATIL ROAD (SOLAPUR ROAD) VIJAYAPURA KARNATAKA",MBBS,Open,OBC,Allotted
18048,247695,Self-Financed Merit Seat,"Yenepoya Medical College, Mangalore,University Road Deralakatte Mangaluru",MBBS,Open,General,Allotted
18049,247842,Self-Financed Merit Seat,"Mahatma Gandhi Missions Medical College, Aurangabad,N-6, Cidco, Chhatrapati Sambhajinagar -Aurangabad",MBBS,Open,OBC,Allotted
18050,247917,Self-Financed Merit Seat,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala,M.M. INSTITUTE OF MEDICAL SCIENCES AND RESEARCH, MULLANA, AMBALA, HARYANA.",MBBS,Open,General,Allotted
18051,247949,Self-Financed Merit Seat,"Institute of Medical Sciences & SUM Hospital, Campus-II, Phulnakhara Bhubaneswar, Odhisha,At-Nakhara, Po-Phulnakhara, Bhubaneswar, Khordha",MBBS,Open,OBC,Allotted
18052,247952,Self-Financed Merit Seat,"Sri Devaraj URS Medical College, Kolar,Post box No.7, SRI DEVARAJ URS MEDICAL COLLEGE, TAMAKA, KOLAR",MBBS,Open,General,Allotted
18053,248045,Self-Financed Merit Seat,"Kalinga Institute of Medical Sciences, Bhubaneswar,CAMPUS-5 KUSHABHADRA CAMPUS P.O-KIIT BHUBANESWAR",MBBS,Open,General,Allotted
